trial,reward,bucket_0,bucket_1,bucket_2,bucket_3,df,df_decay,df_min,er,er_decay,er_min,lr,lr_decay,lr_min
10,15.120000000000001,7,2,2,4,0.9903911909167437,0.9491643381429421,0.8921009610304507,0.23371637338210696,0.9683211862816135,0.04464228999380813,0.21656221306740098,0.9183866789371514,0.07064493744751242
11,20.352,4,7,4,6,0.9100158207672187,0.9815663194080044,0.8660046045604859,0.45963661697711666,0.9293659034492423,0.08755481384474148,0.06889291396415148,0.9503215139527055,0.06175714281236851
12,29.415999999999997,4,4,3,3,0.9122949972514299,0.9071548991033167,0.94332913013679,0.463129697319423,0.9284599585485069,0.056207180333743084,0.30135850881941395,0.9573444975305541,0.04837850177379891
13,22.784,5,7,5,4,0.9600902263324413,0.9749300510498821,0.88885781786355,0.34962798253313093,0.9132185252112899,0.07172244400810746,0.2476580192416003,0.9834871591426445,0.0889360060476394
14,16.808,5,7,3,7,0.9865082535065158,0.9074983989348152,0.9012943763374939,0.21728050328405674,0.9218452273196698,0.09523208839820019,0.13883076594219793,0.980249344322179,0.05339002241662822
15,21.304000000000002,5,5,5,5,0.9554684022734267,0.9773502892926744,0.8627810629320339,0.3500293757510024,0.9070573920180752,0.08370318723124902,0.11005618796801352,0.9099513053828915,0.054411985075027834
16,29.112000000000002,3,3,3,5,0.9209393120369488,0.9457865447832685,0.9196037918598173,0.4610257008314252,0.9450298642553407,0.026248056663884443,0.39040547982057516,0.9244173044683325,0.08176493350387398
17,20.168,4,5,2,6,0.9112322493807425,0.9780987154765041,0.8744676980273628,0.46337689517202374,0.9216335241338699,0.0049974129078499685,0.05289276947696183,0.9433043212797223,0.09645871177931173
18,15.824000000000002,4,5,7,3,0.9183498670201828,0.9983123037790463,0.8962100025884614,0.3500007168755859,0.9986158119232429,0.025790707807772744,0.1722898296090347,0.9029053847721117,0.09840758796004169
19,22.688,4,5,2,2,0.9256783311573303,0.972596121842502,0.8839823899542043,0.39819869395501195,0.997084706167988,0.0396147699434255,0.1638746064815269,0.9408699847881263,0.03831435287406248
20,25.847999999999995,6,5,7,3,0.9623625917397397,0.9688339690917367,0.8865845064939506,0.40182667035924474,0.9018660345593746,0.07063839442220621,0.1656788334263561,0.95215330369358,0.0309074274415682
21,16.695999999999998,6,5,7,3,0.9576767704588375,0.9699118738851581,0.8846973430153015,0.41133917980032253,0.9039682986181085,0.06825348608024838,0.16932381387077072,0.9467429445184752,0.035622971873939174
22,16.647999999999996,3,5,5,4,0.904845019997076,0.9216359825965572,0.9382435009208664,0.40420440042226347,0.9028716669349753,0.03949971368464347,0.3175914341364799,0.961658233314536,0.03835690690487769
23,21.336,3,5,7,2,0.9005303271399271,0.9213428927948526,0.9443695263364578,0.4160456052518662,0.9273211983642877,0.03871719252472516,0.3058866764081479,0.9578724084199066,0.039589334540914733
24,20.12,2,4,7,2,0.9238661629062587,0.9224363566743385,0.9382096681430558,0.41502683098900495,0.9558106134146266,0.03606720922619357,0.33093099056321823,0.9307562980492071,0.0416345862374535
25,20.2,2,4,4,2,0.9338394649414816,0.92257742899747,0.9405261206541728,0.42335222344221873,0.9586945581319888,0.039835593524585225,0.3421215649222409,0.9331393695039472,0.04196359093945047
26,24.503999999999998,2,4,4,2,0.9329507038112625,0.9202901385459359,0.9403047982229287,0.4064140969732646,0.9560675417747767,0.04166342638801856,0.31706618138536585,0.9328726488358052,0.041748805290393966
