trial,reward,bucket_dtheta,bucket_dx,bucket_theta,bucket_x,df,df_decay,df_min,er,er_decay,er_min,lr,lr_decay,lr_min
308,183.68800000000002,3,6,5,4,0.9330909180649182,0.9985499078784318,0.858728975178471,0.456333709941561,0.9916338278147417,0.008040685518692428,0.4921105382744803,0.9337013027452944,0.061436429420606425
309,19.68,3,6,6,4,0.9250931037919476,0.9900965792252019,0.8542392944362148,0.4687820775458124,0.9874341243925728,0.013002646171762423,0.47074573775615425,0.9982044212990749,0.08461473359285805
310,188.656,3,6,5,4,0.9273703982985033,0.9939026274217632,0.8660349009324082,0.44931898283244176,0.9961327405015964,0.08483590354425524,0.4787744350978319,0.9925745897321896,0.08250828050737787
311,57.384,8,6,5,4,0.9304233585790215,0.9963682740445103,0.8501749202149715,0.4619213522658756,0.9819076761258635,0.011542063833517528,0.486098499861447,0.9962943240062017,0.09095152951294647
312,250.704,3,6,5,4,0.9286215704167371,0.999977924866666,0.8566885484527745,0.4790741553177805,0.9895590590866351,0.020462721991533643,0.49954970329952847,0.9939530446506433,0.08633561436151876
313,266.256,3,6,5,4,0.9318149764487296,0.9980683433681418,0.8632405212656106,0.42238403270099234,0.9935469626181171,0.016239258428203954,0.4644644849343614,0.9999510256147147,0.06737773302874182
314,16.904,3,6,3,4,0.9228789341734788,0.9882569055121818,0.861219863549622,0.4417776229759247,0.9860509317090371,0.005295759472323657,0.4462196290656133,0.9430582332237543,0.07974442461344769
315,287.352,3,6,5,4,0.9340664784470966,0.9946371135772899,0.8533535025734521,0.4949066080894865,0.9911677157636174,0.009379546002005225,0.4777556029024547,0.9975856833267601,0.07294863858985615
316,300.536,3,6,5,4,0.9255804634536183,0.9926979829614815,0.9158211117553835,0.4550353897205902,0.9889825355595478,0.013592807926878468,0.49175571284266123,0.9949340611883466,0.06411980780812992
317,357.528,3,6,5,4,0.9306397062548356,0.9374816088558188,0.855824275064083,0.4698266560267272,0.9919247445831467,0.007118082237947056,0.46998190780571264,0.9967641296935364,0.07649323358441106
318,114.28799999999998,3,6,5,5,0.930924271313319,0.9557019213960207,0.8561955668074248,0.469372492113453,0.9972371583711641,0.0075601354189510205,0.4791530021259956,0.9916712533726368,0.09749531264590797
319,108.63199999999999,3,7,5,4,0.9331201512454733,0.9977480427278496,0.8538589882078726,0.457626002425021,0.9944176547249752,0.009992894111183152,0.050124628780169406,0.9965293862235494,0.0884930923600416
320,292.656,3,6,5,4,0.9296582705948186,0.996450593662735,0.8584847970987555,0.44812202469002727,0.9928934298539728,0.01207574095809987,0.4571894212236178,0.9941360811898118,0.081305625994941
321,242.24800000000005,3,6,5,4,0.9343318876863026,0.93312413597418,0.8554141516303608,0.43240612181738297,0.9915393211648168,0.01497994838719311,0.4896899789120096,0.995934930525481,0.07606360731273051
322,248.11999999999998,3,6,5,4,0.9282534511602613,0.9357948637089699,0.8522504454108027,0.46443874194369233,0.9880189490387925,0.010500698086038984,0.4733317682187007,0.9931866857224076,0.07131728820656666
