trial,reward,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,df,df_decay,df_min,er,er_decay,er_min,lr,lr_decay,lr_min
11,-127.01202469976576,3,6,3,6,5,4,5,5,0.9030150155420936,0.9348713155729517,0.8867953290003461,0.41154673241407314,0.9297049540465976,0.007749087054994373,0.4985503805875452,0.9004381492653493,0.06259480339593615
12,-62.045908413481165,3,6,5,5,6,4,6,5,0.9269484799222811,0.9357612232274308,0.9121967058104569,0.3453588308079481,0.9637940842573312,0.027522877842714163,0.33445279061616195,0.9271681354644976,0.035967550868927715
13,-110.37956482181919,3,4,3,5,5,5,5,5,0.918139980920949,0.9446762048848243,0.8769302821962497,0.07360996929657851,0.9208057431154532,0.004014814569799172,0.385598825551023,0.918343582946674,0.059820644343970164
14,-42.13133013693799,2,3,5,5,4,3,6,3,0.9488151924737331,0.9228661739800925,0.9069879677719634,0.2546851343867039,0.9607931992978549,0.026301752201792,0.19187578343673328,0.9392097667491807,0.08254545362073522
15,-88.06770532426994,5,3,5,6,4,3,5,3,0.9513831505528488,0.9197629253140489,0.9094519065396377,0.24535033065820505,0.9694489034700845,0.05544515210008834,0.18077120139730385,0.9394054936939047,0.08580572228262845
16,-80.95576060213486,3,3,5,3,2,2,6,2,0.9179445866513753,0.9035803896817103,0.9241521628020293,0.281415152272971,0.9762605699470033,0.02886769059326344,0.08396662857500986,0.9581036603985643,0.08132169940600503
17,-141.5311067379003,4,4,6,5,3,3,4,4,0.9966340509612273,0.920939834856624,0.8982071576438958,0.2028284072318735,0.9586653436215543,0.05312040896462321,0.20070294204747424,0.9346708800053547,0.09853230979014774
18,-101.06060168606658,4,2,5,6,4,2,4,3,0.943121228349945,0.9278339270733253,0.9247542005050225,0.07275442602023857,0.9346077703821756,0.036996203477328585,0.12169712527625208,0.9453660695433993,0.0694337217085925
19,-130.89377724291478,2,3,3,3,3,3,5,4,0.9108327181769545,0.9515477616727809,0.8758456195118065,0.3015566385839383,0.9797721664791361,0.020607791231745772,0.05511036698620214,0.9698509920179341,0.07601891173804903
20,-39.87041899542684,3,2,5,5,4,4,3,2,0.9259956144082896,0.9099159008800771,0.898316456073152,0.3874764931131424,0.9565149622550938,0.06394913794298966,0.22782452897032823,0.9288040096706857,0.08896354023247063
21,-54.39181837119122,3,2,5,5,4,4,3,2,0.9250265355455234,0.915095746015104,0.9013590720358803,0.42201762726826053,0.9563032299366203,0.06429120616444431,0.2833148310285942,0.9281859363117517,0.08973195754605545
22,-64.50047428156539,3,2,4,5,4,4,2,2,0.9131718441884713,0.9060147909280617,0.9012499026922385,0.37790937981580347,0.9543404174917552,0.07685958479545224,0.21500657572535797,0.9441829561876143,0.09240919428127777
23,-90.02843260484926,2,4,6,6,4,3,3,3,0.9424388318388717,0.9264187614707616,0.8866409277796596,0.4800477774014374,0.9371076630606145,0.0461590749546124,0.14148365399700422,0.9336520467910924,0.06201378224471994
24,-61.79677658141411,3,3,5,5,4,5,4,3,0.9268321787173841,0.909351727097443,0.9226546525397799,0.235289877672776,0.9749830575621199,0.058923588054924286,0.3241350941073643,0.9174219290042974,0.07975217245342894
25,-133.5487222724304,2,2,4,5,3,6,2,2,0.9610569320626807,0.9244947170744002,0.8937408801876165,0.26652215390582445,0.9653959503776652,0.03361867184054408,0.24424438203158297,0.9267014583415195,0.06980374198835951
26,-162.7043038092958,4,3,5,6,5,3,6,3,0.9442508688900708,0.9108903510760895,0.9064239213048824,0.19173643554390352,0.9601168486700129,0.04649238616486914,0.16322070460673077,0.9560512643913874,0.09325436893677824
27,-151.77091495805152,5,2,6,4,4,4,3,2,0.9093332933693256,0.9457092527394401,0.878954694539445,0.31471149508527474,0.9877647633261392,0.01899398402033582,0.10951742760252473,0.941441037042514,0.07892981450651723
28,-65.95102353553915,3,3,4,5,3,2,5,3,0.9317834154317902,0.9351523109725166,0.9307301353996082,0.40480852133656087,0.9513905124575915,0.07849021518010828,0.21221510832502402,0.9308923397250782,0.05472928257947883
29,-90.42403034278605,2,2,5,5,5,3,4,4,0.9845390611453116,0.9723392185301216,0.9147835751697937,0.11808870623736575,0.970633477351721,0.04068574667493863,0.25352157284983096,0.9965667801436933,0.08375111114233584
30,-110.33741918560786,4,2,4,2,6,5,6,2,0.9192119277600909,0.9165607134402268,0.9031650015336132,0.26378456149691026,0.90176099217079,0.04818144519514739,0.38944507244743987,0.9218910725368864,0.0403693188875562
31,-116.75779951130517,2,6,4,5,5,4,6,6,0.9683406578999337,0.9407656009425588,0.8518110418119446,0.35210185454477605,0.9414383566422733,0.032110466482434576,0.45713181216485727,0.9102713633717631,0.02535343817572931
32,-47.932835737321035,2,4,3,5,4,4,6,6,0.9853617366356249,0.9298561621485031,0.8832257556942862,0.3681320369099717,0.9422193038040565,0.010638529692149908,0.35289936309350806,0.911409034687059,0.04633701505837169
33,-170.52203927003956,2,3,4,4,5,3,5,5,0.9490303345252857,0.953985728295638,0.869725287736038,0.446154631696495,0.9482360776016866,0.01667320096043413,0.2993170042780373,0.9500781141075259,0.06778925134188017
